Unnamed: 0,Make,Price,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,power_per_rpm,torque_per_rpm,Age
817,Hyundai,360000,95610,Diesel,Manual,Rudrapur,White,Second,Individual,1336.0,FWD,3995.0,1710.0,1505.0,5.0,45.0,0.02225,0.496,9
507,Kia,1525000,14000,Petrol,Manual,Delhi,Black,First,Individual,1497.0,FWD,4315.0,1800.0,1645.0,5.0,50.0,0.018095238095238,0.032,1
1794,Mercedes-Benz,5300000,12500,Diesel,Automatic,Hyderabad,White,Other,Individual,2148.0,RWD,4596.0,1770.0,1447.0,5.0,66.0,,,0
452,Jaguar,5200000,43000,Diesel,Automatic,Delhi,Black,First,Individual,1999.0,AWD,4731.0,2071.0,1651.0,5.0,82.0,0.04425,0.2457142857142857,3
1148,Mercedes-Benz,2150000,81000,Diesel,Automatic,Ahmedabad,Grey,First,Individual,2987.0,AWD,4781.0,1911.0,1774.0,5.0,95.0,,,8
1143,Land Rover,3600000,45000,Diesel,Automatic,Delhi,Blue,First,Individual,1999.0,AWD,4360.0,2120.0,1635.0,5.0,57.0,0.04425,0.2457142857142857,4
810,Jaguar,2550000,65000,Petrol,Automatic,Mumbai,White,Second,Individual,2995.0,RWD,5247.0,2110.0,1448.0,5.0,83.0,0.0515384615384615,0.1285714285714285,9
1618,Hyundai,434999,76148,Diesel,Manual,Hyderabad,Silver,First,Individual,1396.0,,3940.0,1710.0,1505.0,5.0,45.0,,,10
68,Honda,190000,130000,Petrol,Manual,Deoghar,Maroon,Third,Individual,1799.0,FWD,4545.0,1750.0,1450.0,5.0,50.0,0.0206349206349206,0.0144186046511627,16
1983,Maruti Suzuki,575000,35000,Diesel,Manual,Patna,White,First,Individual,1248.0,FWD,3995.0,1695.0,1555.0,5.0,42.0,0.0185,0.095,5
1059,Toyota,860000,11030,Petrol,Manual,Bangalore,Blue,First,Individual,1197.0,FWD,3995.0,1745.0,1510.0,5.0,37.0,0.0136666666666666,0.0269047619047619,1
567,Toyota,750000,126000,Diesel,Manual,Delhi,Silver,First,Individual,2494.0,RWD,4585.0,1760.0,1760.0,7.0,55.0,0.0277777777777777,0.1428571428571428,8
1958,Nissan,315000,57000,Petrol,Manual,Amritsar,White,First,Individual,1498.0,FWD,4425.0,1695.0,1505.0,5.0,41.0,0.0163333333333333,0.0335,10
449,Skoda,1989999,103000,Diesel,Automatic,Delhi,White,First,Individual,,,4697.0,1882.0,1665.0,7.0,63.0,,,4
512,Mercedes-Benz,1789999,45000,Diesel,Automatic,Lucknow,White,First,Individual,2143.0,FWD,4417.0,1804.0,1494.0,5.0,50.0,0.0372222222222222,0.1875,7
861,Audi,4200000,12321,Petrol,Automatic,Delhi,Black,Other,Individual,1984.0,FWD,4762.0,1847.0,1433.0,5.0,54.0,0.0447619047619047,0.2206896551724138,1
990,Land Rover,5995000,54200,Diesel,Automatic,Indore,White,First,Individual,1999.0,AWD,4600.0,2069.0,1724.0,7.0,70.0,0.04425,0.2457142857142857,2
1855,Maruti Suzuki,395000,47884,Petrol,Automatic,Pune,Red,First,Individual,998.0,FWD,3600.0,1600.0,1560.0,5.0,35.0,0.0111666666666666,0.0257142857142857,8
883,Maruti Suzuki,409999,112000,Diesel,Manual,Gurgaon,White,First,Individual,1248.0,FWD,3850.0,1695.0,1530.0,5.0,42.0,0.0185,0.095,7
1850,Hyundai,844999,71000,Diesel,Manual,Gurgaon,White,Second,Individual,1582.0,FWD,4375.0,1700.0,1475.0,5.0,43.0,0.0315,0.1368421052631579,4
225,Maruti Suzuki,275000,65000,Diesel,Manual,Mumbai,Silver,First,Individual,1248.0,,3715.0,1680.0,1620.0,5.0,43.0,,,11
735,Toyota,1290000,85000,Diesel,Manual,Bangalore,Silver,Second,Individual,2494.0,RWD,4585.0,1760.0,1760.0,7.0,55.0,0.0277777777777777,0.1428571428571428,8
278,Hyundai,1095000,39000,Petrol,Automatic,Hyderabad,Red,Second,Individual,1591.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,0.0190625,0.0317525773195876,5
614,Mercedes-Benz,3700000,103890,Diesel,Automatic,Lucknow,Black,Second,Individual,2987.0,AWD,5120.0,1934.0,1850.0,7.0,100.0,0.0716666666666666,0.386875,7
778,Ford,625000,48422,Petrol,Manual,Kolkata,Blue,First,Individual,1497.0,FWD,3998.0,1765.0,1647.0,5.0,52.0,0.0186153846153846,0.0333333333333333,3
1407,Ford,575000,71569,Diesel,Manual,Lucknow,White,First,Individual,1498.0,FWD,3886.0,1695.0,1525.0,5.0,40.0,0.0264,0.1228571428571428,3
131,Hyundai,1050000,16282,Petrol,Automatic,Pune,White,First,Individual,998.0,FWD,3995.0,1775.0,1505.0,5.0,37.0,0.0196666666666666,0.1146666666666666,2
