iter	RMSE
0	2173454.506
1	2064211.727
2	1962706.494
3	1872254.824
4	1790148.407
5	1720109.648
6	1641021.255
7	1576667.311
8	1509034.483
9	1463398.009
10	1428972.106
11	1382464.77
12	1342304.175
13	1304225.366
14	1287355.388
15	1269216.762
16	1258172.62
17	1227700.436
18	1199266.66
19	1175746.612
20	1165390.734
21	1131451.016
22	1120239.42
23	1108866.423
24	1097191.63
25	1085143.879
26	1065842.214
27	1031018.168
28	1012942.104
29	989798.5433
30	966613.6372
31	943010.527
32	924213.688
33	908746.9369
34	888634.4447
35	874864.2354
36	869659.3432
37	860106.842
38	852725.481
39	834569.814
40	829145.1172
41	825237.6762
42	815819.0268
43	798796.7461
44	787972.9292
45	770796.2517
46	763550.1793
47	753512.6225
48	746436.6927
49	734367.5046
50	731756.4942
51	728945.4521
52	726134.9296
53	718627.7573
54	714140.6657
55	702930.8252
56	695533.39
57	687827.1498
58	681498.8602
59	674073.0906
60	660089.8321
61	654630.778
62	652807.9997
63	645226.855
64	635611.6114
65	627581.8747
66	624800.7334
67	622906.1549
68	616742.4564
69	612955.3034
70	606388.0725
71	601272.3602
72	599117.6053
73	596596.8046
74	594604.7929
75	587093.1848
76	585033.2509
77	581715.7243
78	576474.6447
79	573941.0693
80	573096.2673
81	572022.3543
82	565963.6421
83	563878.1358
84	560754.3124
85	559959.1674
86	559141.6673
87	552076.4004
88	546298.8827
89	542886.4788
90	542108.985
91	541355.1218
92	536380.9164
93	532756.5797
94	526064.475
95	524559.0657
96	523751.9208
97	523103.3667
98	518112.9422
99	517477.579
