iter	Passed	Remaining
0	3	346
1	6	315
2	9	296
3	11	284
4	14	276
5	17	269
6	20	267
7	23	265
8	26	264
9	29	261
10	32	259
11	34	255
12	37	249
13	39	243
14	42	238
15	44	232
16	46	224
17	48	220
18	50	216
19	53	212
20	55	207
21	57	204
22	59	200
23	62	197
24	64	194
25	66	190
26	69	187
27	71	184
28	73	180
29	76	178
30	78	175
31	81	172
32	83	169
33	85	166
34	88	165
35	91	162
36	94	160
37	96	157
38	99	154
39	101	152
40	103	149
41	106	146
42	108	143
43	110	140
44	112	137
45	115	135
46	117	132
47	119	129
48	122	127
49	124	124
50	127	122
51	129	119
52	131	116
53	133	114
54	137	112
55	142	111
56	145	109
57	148	107
58	151	105
59	153	102
60	156	100
61	159	97
62	162	95
63	164	92
64	166	89
65	169	87
66	171	84
67	173	81
68	176	79
69	178	76
70	181	74
71	183	71
72	185	68
73	188	66
74	190	63
75	192	60
76	195	58
77	197	55
78	199	53
79	201	50
80	203	47
81	206	45
82	208	42
83	211	40
84	213	37
85	216	35
86	218	32
87	220	30
88	223	27
89	225	25
90	227	22
91	229	19
92	232	17
93	234	14
94	236	12
95	238	9
96	241	7
97	243	4
98	245	2
99	248	0
