iter	RMSE
0	688731.3035
1	672717.371
2	654492.9113
3	637852.7131
4	621196.7558
5	603884.0466
6	588288.1578
7	572311.8826
8	557544.9347
9	543524.0079
10	530253.4671
11	518655.8102
12	506679.7482
13	495048.7514
14	485161.9599
15	472977.2789
16	463144.8976
17	452029.5174
18	442010.7907
19	431261.5212
20	422350.8837
21	413757.1737
22	405320.4001
23	397220.1609
24	388941.3603
25	380569.8937
26	373152.1933
27	365093.6963
28	358267.3107
29	350847.4355
30	344396.3391
31	339018.6875
32	333329.1377
33	328578.0468
34	322900.6557
35	317386.8908
36	311692.2891
37	306866.3525
38	302142.3773
39	297353.2053
40	292752.8273
41	287808.6546
42	283641.032
43	280370.9453
44	276547.6584
45	272849.9764
46	268559.0947
47	264803.8936
48	261170.4653
49	257604.171
50	254635.0941
51	251516.8309
52	247712.9478
53	244892.3742
54	241571.8006
55	238611.6906
56	236133.2823
57	233827.3843
58	231076.4241
59	228735.9576
60	227009.4228
61	224472.8792
62	222466.9328
63	219863.9682
64	217846.3913
65	216467.1898
66	214342.0185
67	212043.8126
68	210328.8618
69	208632.8204
70	206982.857
71	205521.6329
72	204078.5473
73	202420.6369
74	201156.748
75	199506.3769
76	197780.5933
77	196467
78	194973.8103
79	193706.6107
80	192168.568
81	191166.422
82	190028.9762
83	188745.807
84	187432.9164
85	186883.0861
86	186012.4247
87	184952.4346
88	183424.2627
89	183036.9167
90	182304.2477
91	181268.5715
92	180631.2696
93	180132.3502
94	179137.006
95	178145.4101
96	177115.1245
97	176404.4065
98	175487.6142
99	175006.9595
100	174415.8742
101	174032.1734
102	173387.805
103	172734.4913
104	172452.533
105	172132.5194
106	171887.3267
107	171237.6491
108	170950.897
109	170238.9587
110	170026.9071
111	169821.8229
112	169179.2818
113	168574.6835
114	167725.2478
115	167446.543
116	166949.4337
117	166621.7716
118	166245.4467
119	165414.7763
120	165097.0325
121	164601.7011
122	164133.303
123	163871.0443
124	163295.2889
125	163181.283
126	162460.4542
127	161749.4674
128	161327.2707
129	161023.3008
130	160822.7323
131	160595.8576
132	160213.6397
133	159949.524
134	159095.8182
135	158912.2367
136	158756.052
137	158160.9664
138	158021.4605
139	157840.1125
140	157319.5415
141	157142.4154
142	156638.1284
143	156487.7915
144	156285.2081
145	156128.1837
146	155775.3777
147	155609.5639
148	155393.986
149	154894.6466
150	154779.8144
151	154582.1073
152	154431.6196
153	153938.2459
154	153815.2231
155	153622.5901
156	153167.4604
157	152797.1567
