iter	Passed	Remaining
0	154	154157
1	161	80536
2	168	55839
3	176	43905
4	182	36412
5	189	31337
6	192	27347
7	196	24324
8	199	21914
9	202	20070
10	205	18454
11	207	17105
12	209	15934
13	211	14919
14	213	14045
15	216	13292
16	219	12702
17	221	12089
18	223	11536
19	225	11031
20	226	10569
21	228	10151
22	229	9766
23	231	9413
24	233	9104
25	235	8810
26	237	8552
27	238	8292
28	240	8049
29	241	7820
30	243	7611
31	244	7410
32	246	7222
33	248	7049
34	250	6896
35	251	6743
36	253	6610
37	255	6472
38	257	6337
39	258	6207
40	260	6084
41	261	5968
42	263	5864
43	265	5774
44	267	5680
45	269	5588
46	271	5495
47	272	5404
48	274	5318
49	275	5235
50	277	5155
51	278	5083
52	281	5027
53	283	4959
54	284	4890
55	286	4822
56	287	4758
57	289	4695
58	290	4635
59	292	4580
60	294	4531
61	296	4484
62	298	4433
63	300	4388
64	302	4348
65	303	4300
66	305	4254
67	307	4210
68	308	4168
69	312	4157
70	317	4159
71	321	4138
72	323	4104
73	325	4069
74	327	4044
75	330	4012
76	332	3983
77	334	3956
78	336	3921
79	338	3887
80	339	3855
81	342	3836
82	344	3809
83	347	3789
84	349	3761
85	351	3732
86	353	3706
87	354	3678
88	360	3685
89	362	3662
90	364	3637
91	366	3612
92	367	3586
93	369	3560
94	371	3534
95	374	3522
96	376	3500
97	377	3477
98	379	3456
99	381	3432
100	383	3409
101	384	3387
102	386	3367
103	388	3350
104	390	3331
105	392	3312
106	394	3292
107	396	3272
108	397	3252
109	399	3232
110	401	3212
111	403	3195
112	405	3180
113	407	3164
114	409	3148
115	410	3131
116	412	3113
117	414	3096
118	415	3079
119	417	3063
120	419	3049
121	421	3035
122	423	3019
123	425	3004
124	427	2989
125	428	2969
126	429	2953
127	431	2938
128	433	2923
129	435	2911
130	436	2897
131	438	2883
132	440	2870
133	441	2856
134	443	2842
135	445	2830
136	447	2817
137	449	2807
138	452	2803
139	454	2791
140	456	2780
141	458	2768
142	459	2756
143	461	2743
144	463	2731
145	465	2721
146	467	2710
147	468	2698
148	470	2687
149	472	2676
150	474	2665
151	475	2654
152	477	2642
153	478	2630
154	480	2619
155	482	2608
156	483	2597
157	485	2588
158	487	2578
159	489	2568
160	491	2558
161	492	2548
162	494	2538
163	496	2532
164	498	2522
165	500	2514
166	502	2505
167	504	2496
168	505	2486
169	507	2477
170	509	2468
171	511	2460
172	513	2452
173	514	2443
174	516	2434
175	518	2425
176	519	2416
177	521	2407
178	523	2399
179	524	2391
180	526	2383
181	528	2377
182	530	2369
183	532	2361
184	534	2353
185	536	2346
186	537	2338
187	539	2330
188	541	2322
189	543	2316
190	545	2310
191	547	2303
192	549	2296
193	551	2289
194	552	2281
195	554	2274
196	555	2266
197	558	2261
198	560	2255
199	562	2251
200	564	2244
201	566	2237
202	568	2230
203	569	2223
204	571	2216
205	573	2211
206	575	2204
207	577	2197
208	578	2191
209	580	2184
210	582	2177
211	583	2170
212	585	2163
213	587	2156
214	589	2151
215	591	2145
216	593	2139
217	594	2133
218	596	2127
219	598	2121
220	600	2115
221	601	2109
222	604	2104
223	606	2101
224	608	2095
225	610	2090
226	612	2084
227	614	2079
228	616	2074
229	617	2068
230	620	2066
231	622	2061
232	624	2056
233	626	2050
234	628	2044
235	629	2039
236	631	2033
237	633	2028
238	635	2024
239	637	2019
240	639	2014
241	641	2009
242	643	2003
243	644	1998
244	646	1992
245	648	1987
246	652	1990
247	655	1987
248	657	1983
249	659	1978
250	661	1972
251	662	1967
252	664	1961
253	666	1957
254	668	1953
255	670	1948
256	672	1942
257	673	1937
258	675	1933
259	677	1928
260	679	1924
261	681	1919
262	684	1917
263	687	1917
264	692	1921
265	695	1918
266	700	1923
267	706	1929
268	708	1925
269	710	1922
270	713	1919
271	715	1916
272	718	1912
273	720	1909
274	722	1904
275	724	1899
276	725	1894
277	727	1889
278	730	1886
279	732	1883
280	734	1878
281	736	1874
282	738	1870
283	739	1865
284	741	1860
285	744	1857
286	746	1854
287	748	1849
288	750	1845
289	751	1840
290	753	1835
291	755	1830
292	756	1826
293	758	1821
294	760	1817
295	762	1813
296	764	1809
297	766	1804
298	768	1800
299	769	1796
300	771	1792
301	773	1787
302	775	1784
303	777	1780
304	779	1775
305	781	1771
306	783	1767
307	784	1763
308	786	1758
309	788	1754
310	790	1751
311	792	1748
312	794	1744
313	796	1739
314	797	1735
315	799	1730
316	801	1726
317	802	1722
318	804	1717
319	806	1714
320	810	1715
321	812	1711
322	815	1708
323	816	1704
324	818	1700
325	820	1696
326	823	1694
327	825	1691
328	827	1688
329	829	1684
330	831	1680
331	832	1675
332	834	1671
333	836	1668
334	838	1665
335	840	1661
336	843	1659
337	845	1656
338	847	1652
339	849	1648
340	850	1644
341	853	1641
342	855	1639
343	858	1637
344	860	1633
345	862	1630
346	864	1626
347	865	1622
348	868	1619
349	870	1616
350	872	1612
351	873	1608
352	875	1604
353	877	1601
354	879	1597
355	880	1593
356	882	1590
357	886	1590
358	889	1587
359	891	1584
360	892	1580
361	894	1576
362	896	1573
363	898	1569
364	900	1567
365	903	1565
366	905	1561
367	907	1559
368	909	1555
369	911	1552
370	913	1548
371	916	1546
372	919	1545
373	921	1542
374	923	1539
375	926	1537
376	929	1535
377	933	1536
378	938	1537
379	942	1537
380	947	1540
381	950	1537
382	952	1534
383	954	1531
384	957	1529
385	959	1525
386	961	1522
387	963	1519
388	965	1516
389	968	1515
390	971	1513
391	974	1511
392	978	1511
393	981	1509
394	986	1511
395	990	1510
396	995	1511
397	998	1510
398	1045	1574
399	1050	1575
400	1054	1575
401	1060	1577
402	1072	1588
403	1081	1595
404	1099	1615
405	1104	1615
406	1110	1617
407	1117	1621
408	1137	1643
409	1140	1640
410	1144	1639
411	1147	1637
412	1150	1635
413	1153	1632
414	1157	1631
415	1161	1630
416	1166	1630
417	1169	1628
418	1171	1624
419	1174	1621
420	1176	1617
421	1178	1613
422	1179	1609
423	1181	1605
424	1183	1601
425	1185	1596
426	1186	1592
427	1189	1589
428	1190	1585
429	1193	1582
430	1195	1578
431	1197	1573
432	1198	1569
433	1200	1565
434	1202	1561
435	1204	1558
436	1207	1555
437	1209	1551
438	1210	1547
439	1212	1543
440	1214	1539
441	1216	1535
442	1218	1531
443	1220	1528
444	1223	1525
445	1225	1521
446	1226	1517
447	1228	1514
448	1230	1510
449	1232	1506
450	1234	1502
451	1237	1499
452	1238	1496
453	1240	1492
454	1242	1488
455	1244	1484
456	1246	1480
457	1248	1476
458	1250	1473
459	1252	1469
460	1254	1466
461	1255	1462
462	1257	1458
463	1259	1454
464	1261	1451
465	1262	1447
466	1264	1443
467	1266	1439
468	1269	1437
469	1271	1433
470	1272	1429
471	1274	1425
472	1276	1422
473	1278	1418
474	1279	1414
475	1285	1415
476	1287	1412
477	1289	1408
478	1291	1404
479	1292	1400
480	1294	1396
481	1296	1393
482	1298	1390
483	1300	1386
484	1302	1382
485	1303	1378
486	1305	1375
487	1307	1371
488	1309	1368
489	1311	1364
490	1313	1361
491	1315	1357
492	1316	1354
493	1318	1350
494	1320	1347
495	1322	1343
496	1323	1339
497	1325	1336
498	1327	1333
499	1329	1329
500	1331	1326
501	1333	1322
502	1334	1318
503	1336	1315
504	1338	1311
505	1340	1308
506	1341	1304
507	1344	1301
508	1345	1298
509	1347	1294
510	1349	1291
511	1351	1288
512	1353	1285
513	1355	1281
514	1357	1278
515	1359	1275
516	1361	1272
517	1363	1269
518	1365	1265
519	1367	1262
520	1369	1258
521	1370	1255
522	1372	1252
523	1375	1249
524	1377	1245
525	1378	1242
526	1380	1239
527	1382	1236
528	1384	1232
529	1386	1229
530	1388	1226
531	1390	1223
532	1392	1219
533	1394	1216
534	1395	1213
535	1397	1210
536	1399	1206
537	1401	1203
538	1403	1200
539	1405	1197
540	1407	1194
541	1409	1191
542	1411	1188
543	1413	1184
544	1415	1181
545	1417	1178
546	1419	1175
547	1421	1172
548	1423	1169
549	1425	1166
550	1426	1162
551	1428	1159
552	1430	1156
553	1432	1152
554	1433	1149
555	1435	1146
556	1437	1143
557	1439	1140
558	1442	1137
559	1444	1134
560	1445	1131
561	1447	1128
562	1449	1125
563	1451	1121
564	1453	1118
565	1454	1115
566	1457	1112
567	1460	1110
568	1462	1107
569	1464	1105
570	1467	1102
571	1469	1099
572	1472	1097
573	1474	1094
574	1476	1091
575	1478	1088
576	1480	1085
577	1482	1082
578	1484	1079
579	1486	1076
580	1488	1073
581	1490	1070
582	1492	1067
583	1494	1064
584	1496	1061
585	1499	1059
586	1501	1056
587	1504	1054
588	1506	1051
589	1508	1048
590	1510	1045
591	1511	1041
592	1513	1038
593	1515	1035
594	1517	1032
595	1519	1029
596	1521	1026
597	1522	1023
598	1524	1020
599	1526	1017
600	1527	1014
601	1530	1011
602	1532	1009
603	1534	1006
604	1536	1003
605	1538	999
606	1539	996
607	1541	993
608	1543	990
609	1545	988
610	1548	985
611	1550	982
612	1552	979
613	1553	976
614	1555	973
615	1557	970
616	1559	967
617	1561	965
618	1563	962
619	1565	959
620	1567	956
621	1568	953
622	1570	950
623	1572	947
624	1574	944
625	1575	941
626	1578	938
627	1580	935
628	1581	933
629	1583	930
630	1585	927
631	1587	924
632	1589	921
633	1591	918
634	1593	916
635	1596	913
636	1598	910
637	1599	907
638	1601	904
639	1603	902
640	1605	899
641	1607	896
642	1609	893
643	1611	890
644	1613	888
645	1615	885
646	1617	882
647	1618	879
648	1620	876
649	1622	873
650	1625	871
651	1627	868
652	1629	865
653	1631	863
654	1633	860
655	1635	857
656	1637	854
657	1640	852
658	1642	850
659	1645	847
660	1648	845
661	1650	842
662	1652	840
663	1654	837
664	1657	834
665	1660	832
666	1662	829
667	1664	827
668	1666	824
669	1668	821
670	1669	818
671	1672	816
672	1674	813
673	1676	810
674	1678	808
675	1680	805
676	1682	802
677	1684	799
678	1685	797
679	1688	794
680	1690	791
681	1691	788
682	1693	786
683	1695	783
684	1697	780
685	1699	777
686	1701	775
687	1703	772
688	1705	769
689	1707	766
690	1708	764
691	1710	761
692	1712	758
693	1713	755
694	1715	752
695	1717	750
696	1719	747
697	1720	744
698	1722	741
699	1723	738
700	1725	736
701	1727	733
702	1729	730
703	1730	727
704	1733	725
705	1735	722
706	1737	719
707	1739	717
708	1740	714
709	1742	711
710	1745	709
711	1748	707
712	1750	704
713	1754	702
714	1756	700
715	1759	697
716	1761	695
717	1763	692
718	1765	689
719	1766	687
720	1768	684
721	1769	681
722	1771	678
723	1773	675
724	1774	673
725	1776	670
726	1778	667
727	1780	665
728	1781	662
729	1783	659
730	1785	656
731	1787	654
732	1788	651
733	1790	648
734	1792	646
735	1793	643
736	1796	641
737	1798	638
738	1800	635
739	1801	633
740	1803	630
741	1805	627
742	1806	624
743	1808	622
744	1810	619
745	1812	617
746	1814	614
747	1816	612
748	1818	609
749	1819	606
750	1821	603
751	1823	601
752	1824	598
753	1827	596
754	1829	593
755	1830	590
756	1832	588
757	1834	585
758	1836	583
759	1837	580
760	1839	577
761	1841	575
762	1843	572
763	1845	570
764	1848	567
765	1851	565
766	1853	563
767	1855	560
768	1858	558
769	1860	555
770	1863	553
771	1865	551
772	1868	548
773	1870	546
774	1872	543
775	1875	541
776	1877	538
777	1879	536
778	1881	533
779	1883	531
780	1885	528
781	1887	526
782	1890	523
783	1891	521
784	1893	518
785	1895	516
786	1897	513
787	1899	510
788	1901	508
789	1902	505
790	1904	503
791	1906	500
792	1908	498
793	1910	495
794	1912	493
795	1913	490
796	1915	487
797	1917	485
798	1919	482
799	1921	480
800	1923	477
801	1924	475
802	1926	472
803	1928	470
804	1929	467
805	1931	464
806	1933	462
807	1936	460
808	1938	457
809	1940	455
810	1942	452
811	1943	450
812	1945	447
813	1947	444
814	1948	442
815	1951	439
816	1953	437
817	1954	434
818	1956	432
819	1958	429
820	1960	427
821	1961	424
822	1963	422
823	1965	419
824	1967	417
825	1969	414
826	1971	412
827	1973	409
828	1975	407
829	1977	404
830	1978	402
831	1980	399
832	1982	397
833	1984	395
834	1986	392
835	1987	389
836	1989	387
837	1991	384
838	1992	382
839	1994	379
840	1996	377
841	1998	375
842	2000	372
843	2001	370
844	2003	367
845	2005	365
846	2007	362
847	2009	360
848	2011	357
849	2013	355
850	2015	352
851	2017	350
852	2019	347
853	2020	345
854	2022	343
855	2024	340
856	2026	338
857	2028	335
858	2030	333
859	2032	330
860	2034	328
861	2036	326
862	2038	323
863	2040	321
864	2042	318
865	2044	316
866	2046	314
867	2048	311
868	2050	309
869	2052	306
870	2054	304
871	2056	301
872	2058	299
873	2060	297
874	2062	294
875	2064	292
876	2065	289
877	2067	287
878	2069	284
879	2070	282
880	2072	279
881	2074	277
882	2076	275
883	2078	272
884	2079	270
885	2081	267
886	2083	265
887	2084	262
888	2086	260
889	2088	258
890	2090	255
891	2092	253
892	2094	250
893	2096	248
894	2097	246
895	2099	243
896	2101	241
897	2103	238
898	2105	236
899	2107	234
900	2109	231
901	2110	229
902	2112	226
903	2114	224
904	2115	222
905	2117	219
906	2119	217
907	2121	214
908	2123	212
909	2126	210
910	2128	207
911	2129	205
912	2131	203
913	2133	200
914	2134	198
915	2137	195
916	2139	193
917	2141	191
918	2143	188
919	2145	186
920	2147	184
921	2149	181
922	2150	179
923	2152	177
924	2154	174
925	2156	172
926	2158	169
927	2160	167
928	2162	165
929	2163	162
930	2165	160
931	2167	158
932	2169	155
933	2171	153
934	2173	151
935	2175	148
936	2177	146
937	2179	144
938	2182	141
939	2185	139
940	2187	137
941	2189	134
942	2191	132
943	2193	130
944	2195	127
945	2197	125
946	2203	123
947	2205	120
948	2207	118
949	2209	116
950	2211	113
951	2216	111
952	2219	109
953	2221	107
954	2224	104
955	2230	102
956	2235	100
957	2236	98
958	2238	95
959	2240	93
960	2242	91
961	2244	88
962	2247	86
963	2249	83
964	2251	81
965	2253	79
966	2255	76
967	2258	74
968	2262	72
969	2265	70
970	2268	67
971	2269	65
972	2271	63
973	2273	60
974	2275	58
975	2281	56
976	2283	53
977	2285	51
978	2287	49
979	2289	46
980	2290	44
981	2294	42
982	2296	39
983	2298	37
984	2300	35
985	2302	32
986	2303	30
987	2305	28
988	2307	25
989	2310	23
990	2312	20
991	2313	18
992	2315	16
993	2317	13
994	2319	11
995	2320	9
996	2322	6
997	2325	4
998	2327	2
999	2329	0
