,Make,Price,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,power_per_rpm,torque_per_rpm,Age
0,Honda,505000,87150,Petrol,Manual,Pune,Grey,First,Other,1198.0,FWD,3990.0,1680.0,1505.0,5.0,35.0,0.0145,0.02422222222222222,5
1,Maruti Suzuki,450000,75000,Diesel,Manual,Ludhiana,White,Second,Individual,1248.0,FWD,3995.0,1695.0,1555.0,5.0,42.0,0.0185,0.095,8
2,Hyundai,220000,67000,Petrol,Manual,Lucknow,Maroon,First,Individual,1197.0,FWD,3585.0,1595.0,1550.0,5.0,35.0,0.013166666666666667,1.90475,11
3,Toyota,799000,37500,Petrol,Manual,Mangalore,Red,First,Individual,1197.0,FWD,3995.0,1745.0,1510.0,5.0,37.0,0.013666666666666667,0.026904761904761904,3
4,Toyota,1950000,69000,Diesel,Manual,Mumbai,Grey,First,Individual,2393.0,RWD,4735.0,1830.0,1795.0,7.0,55.0,0.04352941176470588,0.245,4
5,Maruti Suzuki,675000,73315,Petrol,Manual,Pune,Grey,First,Individual,1373.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,0.015166666666666667,0.0325,5
6,Mercedes-Benz,1898999,47000,Petrol,Automatic,Mumbai,White,Second,Individual,1991.0,FWD,4630.0,1777.0,1432.0,5.0,,0.03290909090909091,0.25,7
7,BMW,2650000,75000,Diesel,Automatic,Coimbatore,White,Second,Individual,1995.0,AWD,4439.0,1821.0,1612.0,5.0,51.0,0.047,0.22857142857142856,5
8,Skoda,1390000,56000,Petrol,Automatic,Mumbai,White,First,Individual,1798.0,FWD,4670.0,1814.0,1476.0,5.0,50.0,0.03470588235294118,0.2,5
9,Nissan,575000,85000,Diesel,Manual,Mumbai,White,First,Individual,1461.0,FWD,4331.0,1822.0,1671.0,5.0,50.0,0.0224,0.10526315789473684,7
10,Hyundai,591000,20281,Petrol,Manual,Mumbai,Red,First,Individual,1197.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,0.013666666666666667,0.02875,5
11,Renault,459999,22541,Petrol,Manual,Bangalore,Grey,First,Individual,999.0,FWD,3679.0,1579.0,1478.0,5.0,28.0,0.012181818181818183,0.021411764705882352,4
12,Maruti Suzuki,1075000,30672,Petrol,Automatic,Bangalore,Blue,First,Individual,1462.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,0.017166666666666667,0.031363636363636364,3
13,Tata,1695000,20856,Diesel,Manual,Bangalore,Other,First,Individual,1956.0,FWD,4598.0,1894.0,1706.0,5.0,50.0,0.0368,0.2,3
14,Volkswagen,944999,41417,Petrol,Automatic,Bangalore,Grey,First,Individual,1197.0,FWD,3971.0,1682.0,1469.0,5.0,45.0,0.0206,0.11666666666666667,5
15,Maruti Suzuki,569000,11471,Petrol,Automatic,Bangalore,Red,First,Individual,998.0,FWD,3695.0,1600.0,1560.0,5.0,35.0,0.011166666666666667,0.025714285714285714,6
16,Maruti Suzuki,449000,3583,Petrol,Manual,Bangalore,Grey,First,Individual,796.0,FWD,3445.0,1515.0,1475.0,5.0,35.0,0.007833333333333333,0.019714285714285715,3
17,Maruti Suzuki,894999,21365,Petrol,Automatic,Bangalore,Grey,First,Individual,1197.0,FWD,3995.0,1745.0,1510.0,5.0,37.0,0.013666666666666667,0.026904761904761904,4
18,Maruti Suzuki,699000,30777,Petrol,Automatic,Bangalore,White,First,Individual,1197.0,FWD,3655.0,1620.0,1675.0,5.0,32.0,0.013666666666666667,0.026904761904761904,2
19,Hyundai,740000,60125,Petrol,Manual,Delhi,Silver,First,Individual,1591.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,0.0190625,0.03175257731958763,6
20,Maruti Suzuki,470000,2169,Petrol,Automatic,Mumbai,Grey,First,Individual,998.0,FWD,3565.0,1520.0,1564.0,5.0,27.0,0.012181818181818183,0.025714285714285714,2
21,Volkswagen,765000,60240,Petrol,Automatic,Bangalore,Brown,First,Individual,1197.0,FWD,4384.0,1699.0,1466.0,5.0,55.0,0.0206,0.04026315789473684,7
22,Hyundai,589000,13772,Petrol,Automatic,Bangalore,White,First,Individual,1086.0,FWD,3610.0,1645.0,1560.0,5.0,35.0,0.012363636363636363,0.022,4
23,Hyundai,999000,27464,Petrol,Manual,Bangalore,Blue,First,Individual,998.0,FWD,3995.0,1770.0,1605.0,5.0,45.0,0.019666666666666666,0.11466666666666667,3
24,Maruti Suzuki,370000,47377,Other,Manual,Delhi,Grey,First,Individual,998.0,FWD,3545.0,1490.0,1475.0,4.0,60.0,0.009666666666666667,0.022285714285714287,3
25,Maruti Suzuki,325000,23086,Petrol,Manual,Mumbai,Grey,First,Individual,1197.0,FWD,3775.0,1680.0,1620.0,5.0,43.0,0.014166666666666666,0.025111111111111112,9
26,Hyundai,1175000,36313,Petrol,Manual,Mumbai,Grey,First,Individual,1591.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,0.0190625,0.03175257731958763,3
27,Honda,351000,39276,Petrol,Manual,Mumbai,Red,First,Individual,1198.0,FWD,3610.0,1680.0,1500.0,5.0,35.0,0.0145,0.02422222222222222,8
28,Hyundai,551000,47752,Petrol,Manual,Mumbai,White,First,Individual,1197.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,0.013666666666666667,0.02875,7
29,Honda,819999,27963,Petrol,Manual,Delhi,White,First,Individual,1199.0,FWD,3999.0,1734.0,1601.0,5.0,40.0,0.014833333333333334,0.022916666666666665,4
30,Hyundai,990000,24013,Petrol,Manual,Mumbai,Blue,First,Individual,998.0,FWD,3995.0,1770.0,1605.0,5.0,45.0,0.019666666666666666,0.11466666666666667,2
31,Hyundai,925000,66000,Diesel,Automatic,Raipur,Black,First,Individual,1582.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,0.0315,0.1394736842105263,6
32,Ford,535000,28000,Petrol,Manual,Mumbai,Silver,First,Individual,999.0,FWD,3999.0,1765.0,1708.0,5.0,52.0,0.020666666666666667,0.12142857142857143,7
33,Honda,860000,67000,Petrol,Automatic,Mumbai,Brown,First,Individual,,,,,,,,,,9
34,Hyundai,145000,72000,Other,Manual,Kanpur,Silver,Second,Individual,1086.0,FWD,3565.0,1525.0,1590.0,5.0,35.0,0.011272727272727273,0.032,13
35,Tata,409000,27069,Petrol,Manual,Mumbai,White,First,Individual,1199.0,FWD,3746.0,1647.0,1535.0,5.0,35.0,0.014,0.03257142857142857,4
36,Tata,490000,43000,Diesel,Manual,Patna,White,First,Individual,1047.0,FWD,3992.0,1677.0,1537.0,5.0,35.0,0.01725,0.07777777777777778,4
37,Toyota,1900000,71000,Diesel,Manual,Mumbai,Other,First,Individual,2393.0,RWD,4735.0,1830.0,1795.0,8.0,55.0,0.04352941176470588,0.245,3
38,Mercedes-Benz,3850000,45600,Diesel,Automatic,Mumbai,Black,Second,Individual,2143.0,AWD,4656.0,1890.0,1639.0,5.0,66.0,0.056,0.2857142857142857,5
39,Hyundai,1125000,60000,Diesel,Manual,Patna,White,First,Individual,1582.0,FWD,4270.0,1780.0,1665.0,5.0,55.0,0.0315,0.17333333333333334,4
40,Mercedes-Benz,2300000,105101,Diesel,Automatic,Vadodara,White,First,Individual,2143.0,AWD,4804.0,2141.0,1796.0,5.0,70.0,0.04833333333333333,0.3125,8
41,Toyota,1095000,45000,Petrol,Automatic,Mumbai,Black,First,Individual,1798.0,FWD,4620.0,1775.0,1475.0,5.0,55.0,0.0215625,0.04325,6
